threads,read_ratio,commits_per_sec,aborts_per_sec
8,0.1,52.1682,20.6065
8,0.3,63.5627,14.1427
8,0.5,67.9406,8.83227
8,0.7,75.0892,4.03604
8,0.9,78.8644,0.394322
