threads,read_ratio,commits_per_sec,aborts_per_sec
8,0.1,52.1071,22.4712
8,0.3,57.5912,18.2852
8,0.5,62.9921,14.6457
8,0.7,70.2247,7.90028
8,0.9,75.7361,2.17741
