threads,read_ratio,commits_per_sec,aborts_per_sec
2,0.7,18.7776,0.563327
4,0.7,39.6157,1.78271
8,0.7,72.6414,6.71933
16,0.7,121.02,33.1291
24,0.7,171.49,54.3766
32,0.7,207.779,87.5268
